# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ARHGDIG	ARHGDIG	NM_001176.4	protein_coding	0	0	4	12	0	0	0	0	0	0	0	12	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ARHGEF10	ARHGEF10.2	NM_001308152.2.2	protein_coding	0	9	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	9	0
ARHGEF10	ARHGEF10.2	NM_001308153.2	protein_coding	0	9	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	9	0
ARHGEF10	ARHGEF10.2	NM_014629.4.2	protein_coding	0	9	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	9	0
ARHGEF10L	ARHGEF10L	NM_001011722.2	protein_coding	0	6	20	2	0	0	0	0	0	0	0	0	0	0	2	20	0	0	0	3	0	0	0	0	0	6	0
ARHGEF10L	ARHGEF10L	NM_001319837.1	protein_coding	0	6	20	2	0	0	0	0	0	0	0	0	0	0	2	20	0	0	0	3	0	0	0	0	0	6	0
ARHGEF10L	ARHGEF10L	NM_001319838.1	protein_coding	0	6	20	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	3	0	0	0	0	0	6	0
ARHGEF10L	ARHGEF10L	NM_001328124.1	protein_coding	0	6	20	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	3	0	0	0	0	0	6	0
ARHGEF10L	ARHGEF10L	NM_018125.4	protein_coding	0	6	20	2	0	0	0	0	0	0	0	0	0	0	2	20	0	0	0	3	0	0	0	0	0	6	0
ARHGEF10L	ARHGEF10L	NR_137287.2		0	3	0	25	0	0	0	0	0	0	0	0	0	0	2	0	26	0	0	3	0	0	0	0	0	0	0
ARHGEF10L	ARHGEF10L	NR_137288.2		0	3	0	25	0	0	0	0	0	0	0	0	0	0	2	0	26	0	0	3	0	0	0	0	0	0	0
ARHGEF11	ARHGEF11	NM_014784.4	protein_coding	0	2	2	3	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0
ARHGEF11	ARHGEF11	NM_198236.3	protein_coding	0	2	2	3	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0
ARHGEF15	ARHGEF15	NM_025014.1	protein_coding	0	11	10	1	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	11	0
ARHGEF15	ARHGEF15	NM_173728.4	protein_coding	0	11	10	1	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	11	0
ARHGEF16	ARHGEF16	NM_014448.4	protein_coding	0	7	8	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	7	0
ARHGEF17	ARHGEF17	NM_014786.4	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ARHGEF18	ARHGEF18	NM_001130955.2	protein_coding	0	25	16	8	0	0	0	0	0	0	0	8	0	0	0	16	0	0	0	0	0	0	0	0	0	25	0
ARHGEF18	ARHGEF18	NM_001367823.1	protein_coding	0	25	15	9	0	0	0	0	0	0	0	8	0	0	1	15	0	0	0	0	0	0	0	0	0	25	0
ARHGEF18	ARHGEF18	NM_001367824.1	protein_coding	0	25	15	9	0	0	1	0	0	0	0	8	0	0	0	15	0	0	0	0	0	0	0	0	0	25	0
ARHGEF18	ARHGEF18	NM_015318.4	protein_coding	0	25	15	9	0	0	0	0	0	0	0	8	0	0	1	15	0	0	0	0	0	0	0	0	0	25	0
ARHGEF19	ARHGEF19	NM_153213.5	protein_coding	0	3	5	3	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	3	0
ARHGEF2	ARHGEF2	NM_001162383.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF2	ARHGEF2	NM_001162384.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF2	ARHGEF2	NM_001350110.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF2	ARHGEF2	NM_001350111.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF2	ARHGEF2	NM_001350112.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF2	ARHGEF2	NM_004723.3	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF25	ARHGEF25	NM_001111270.3	protein_coding	0	4	4	8	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	4	7
ARHGEF25	ARHGEF25	NM_001347933.2	protein_coding	0	4	5	7	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4	7
ARHGEF25	ARHGEF25	NM_182947.4	protein_coding	0	4	5	7	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4	7
ARHGEF25	ARHGEF25	NR_046223.2		0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	7
ARHGEF26	ARHGEF26	NM_001251962.1	protein_coding	0	4	28	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	4	0
ARHGEF26	ARHGEF26	NM_001251963.2	protein_coding	0	4	28	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	4	0
ARHGEF26	ARHGEF26	NM_015595.4.2	protein_coding	0	4	28	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	4	0
ARHGEF26-AS1	ARHGEF26-AS1	NR_037901.1		0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
ARHGEF28	ARHGEF28	NM_001080479.2	protein_coding	0	24	30	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	24	0
ARHGEF28	ARHGEF28	NM_001177693.1	protein_coding	0	24	30	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	24	0
ARHGEF28	ARHGEF28	NM_001244364.2	protein_coding	0	19	25	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	19	0
ARHGEF3	ARHGEF3	NM_001128615.2	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF3	ARHGEF3	NM_001289698.2	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF3	ARHGEF3	NM_019555.3	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
ARHGEF33	ARHGEF33	NM_001145451.4	protein_coding	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0
ARHGEF33	ARHGEF33	NM_001367623.2	protein_coding	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0
ARHGEF34P	ARHGEF34P	NR_033942.1		0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0
ARHGEF34P	ARHGEF34P.2	NR_033942.1.2		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ARHGEF35-AS1	ARHGEF35-AS1.2	NR_126022.1.2		0	0	0	10	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF35-AS1	ARHGEF35-AS1.2	NR_126022.1.4		0	0	0	7	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF37	ARHGEF37	NM_001001669.3	protein_coding	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0
ARHGEF39	ARHGEF39	NM_032818.3	protein_coding	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF40	ARHGEF40	NM_001278529.2	protein_coding	0	1	2	30	0	0	6	0	0	0	0	24	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
ARHGEF40	ARHGEF40	NM_001278530.2	protein_coding	0	1	2	30	0	0	6	0	0	0	0	24	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
ARHGEF40	ARHGEF40	NM_018071.5	protein_coding	0	3	6	24	0	0	0	0	0	0	0	24	0	0	0	6	0	0	0	0	0	0	0	0	0	3	0
ARHGEF5	ARHGEF5.2	NM_005435.4.2	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001113511.2	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001113512.2	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001113513.2	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001320851.2	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001320852.1	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001320853.2	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001320854.2	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001330597.2	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001330598.2	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001354046.1	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001354047.1	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001354048.1	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001354049.2	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001354050.2	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001354051.2	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001354052.2	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001354053.2	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001354054.2	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001354055.2	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001354056.1	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001354057.2	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001354058.2	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001354059.2	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001354060.2	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_001354061.2	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_003899.5	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARHGEF7	ARHGEF7	NM_145735.3	protein_coding	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0
ARID1A	ARID1A	NM_006015.6	protein_coding	0	10	12	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	10	0
ARID1A	ARID1A	NM_139135.4	protein_coding	0	6	0	16	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	6	0
ARID1B	ARID1B	NM_001346813.1	protein_coding	0	16	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	16	0
ARID1B	ARID1B	NM_001363725.2	protein_coding	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
ARID1B	ARID1B	NM_001371656.1	protein_coding	0	9	6	7	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	9	0
ARID1B	ARID1B	NM_017519.2	protein_coding	0	9	6	7	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	9	0
ARID1B	ARID1B	NM_020732.3	protein_coding	0	9	6	7	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	9	0
ARID3A	ARID3A	NM_005224.3	protein_coding	0	9	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	9	0
ARID3C	ARID3C	NM_001017363.2	protein_coding	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0
ARID3C	ARID3C	NM_001371945.1	protein_coding	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0
ARID4A	ARID4A	NM_002892.4	protein_coding	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	8	0
ARID4A	ARID4A	NM_023000.2	protein_coding	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	8	0
ARID4A	ARID4A	NM_023001.2	protein_coding	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	8	0
ARID4B	ARID4B	NM_001206794.1	protein_coding	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	9	0
ARID4B	ARID4B	NM_016374.6	protein_coding	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	9	0
ARID4B	ARID4B	NM_031371.4	protein_coding	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	9	0
ARID4B	ARID4B	NR_135074.2		0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	5	0	0	0	0	0	0	0
ARID5B	ARID5B	NM_001244638.2	protein_coding	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
ARID5B	ARID5B	NM_032199.3	protein_coding	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
ARIH2	ARIH2	NM_001317333.2	protein_coding	0	7	8	6	0	0	0	0	0	0	0	6	0	0	0	8	0	0	0	0	0	0	0	0	0	7	0
ARIH2	ARIH2	NM_001317334.2	protein_coding	0	0	0	21	0	0	0	0	0	0	0	6	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
ARIH2	ARIH2	NM_001349209.2	protein_coding	0	7	8	6	0	0	0	0	0	0	0	6	0	0	0	8	0	0	0	0	0	0	0	0	0	7	0
ARIH2	ARIH2	NM_001349210.2	protein_coding	0	7	8	6	0	0	0	0	0	0	0	6	0	0	0	8	0	0	0	0	0	0	0	0	0	7	0
ARIH2	ARIH2	NM_001349211.2	protein_coding	0	7	8	6	0	0	0	0	0	0	0	6	0	0	0	8	0	0	0	0	0	0	0	0	0	7	0
ARIH2	ARIH2	NM_001349212.2	protein_coding	0	0	0	21	0	0	0	0	0	0	0	6	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
ARIH2	ARIH2	NM_001349213.2	protein_coding	0	7	8	6	0	0	0	0	0	0	0	6	0	0	0	8	0	0	0	0	0	0	0	0	0	7	0
ARIH2	ARIH2	NM_001349214.2	protein_coding	0	7	8	6	0	0	0	0	0	0	0	6	0	0	0	8	0	0	0	0	0	0	0	0	0	7	0
ARIH2	ARIH2	NM_001349215.2	protein_coding	0	7	8	6	0	0	0	0	0	0	0	6	0	0	0	8	0	0	0	0	0	0	0	0	0	7	0
ARIH2	ARIH2	NM_001349216.2	protein_coding	0	0	0	21	0	0	15	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARIH2	ARIH2	NM_001349217.2	protein_coding	0	0	0	21	0	0	15	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARIH2	ARIH2	NM_001349218.2	protein_coding	0	0	0	21	0	0	15	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARIH2	ARIH2	NM_001349219.2	protein_coding	0	0	0	21	0	0	15	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARIH2	ARIH2	NM_001349220.2	protein_coding	0	0	0	21	0	0	15	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARIH2	ARIH2	NM_001349221.2	protein_coding	0	0	0	21	0	0	0	0	0	0	0	6	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
ARIH2	ARIH2	NM_001349222.2	protein_coding	0	0	0	21	0	0	15	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARIH2	ARIH2	NM_001349223.2	protein_coding	0	0	0	21	0	0	15	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARIH2	ARIH2	NM_001349224.2	protein_coding	0	0	0	21	0	0	0	0	0	0	0	6	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
ARIH2	ARIH2	NM_001349225.2	protein_coding	0	0	0	21	0	0	15	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARIH2	ARIH2	NM_001349226.2	protein_coding	0	0	0	21	0	0	0	0	0	0	0	6	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
ARIH2	ARIH2	NM_001349227.2	protein_coding	0	0	0	21	0	0	0	0	0	0	0	6	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
ARIH2	ARIH2	NM_001349228.2	protein_coding	0	7	8	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	7	0
ARIH2	ARIH2	NM_001349229.2	protein_coding	0	7	8	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	7	0
ARIH2	ARIH2	NM_001349230.2	protein_coding	0	7	8	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	7	0
ARIH2	ARIH2	NM_006321.4	protein_coding	0	7	8	6	0	0	0	0	0	0	0	6	0	0	0	8	0	0	0	0	0	0	0	0	0	7	0
ARIH2	ARIH2	NR_146082.2		0	0	0	21	0	0	0	0	0	0	0	6	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
ARIH2	ARIH2	NR_146083.2		0	0	0	21	0	0	0	0	0	0	0	6	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
ARIH2	ARIH2	NR_146084.2		0	0	0	21	0	0	0	0	0	0	0	6	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0
ARIH2	ARIH2	NR_146085.2		0	0	0	21	0	0	0	0	0	0	0	6	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
ARL10	ARL10	NM_173664.6	protein_coding	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL11	ARL11	NM_138450.6	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ARL13A	ARL13A	NM_001162491.2	protein_coding	0	0	0	3	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ARL13A	ARL13A	NR_103708.2		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ARL13A	ARL13A	NR_103709.2		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ARL13B	ARL13B	NM_001174150.2	protein_coding	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
ARL13B	ARL13B	NM_001174151.1	protein_coding	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
ARL13B	ARL13B	NM_001321328.2	protein_coding	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
ARL13B	ARL13B	NM_144996.4	protein_coding	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
ARL13B	ARL13B	NM_182896.3	protein_coding	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
ARL13B	ARL13B	NR_033427.2		0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0
ARL13B	ARL13B	NR_135621.2		0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0
ARL14EPL	ARL14EPL	NM_001195581.1	protein_coding	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0
ARL15	ARL15	NM_019087.3	protein_coding	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ARL17A	ARL17A.4	NM_001113738.1.5	protein_coding	0	0	6	6	0	0	0	0	0	0	0	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ARL17A	ARL17A.4	NM_001330244.1.2	protein_coding	0	0	6	6	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0
ARL17A	ARL17A.5	NM_001113738.1.3	protein_coding	0	0	0	24	6	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL17A	ARL17A.5	NM_001288811.1	protein_coding	0	0	0	24	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
ARL17A	ARL17A.5	NM_001288812.1	protein_coding	0	0	0	24	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
ARL17A	ARL17A.5	NM_001288813.1	protein_coding	0	0	0	24	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
ARL17A	ARL17A.5	NM_001330244.1.3	protein_coding	0	0	0	24	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
ARL17A	ARL17A.5	NM_016632.2	protein_coding	0	0	0	24	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
ARL17B	ARL17B.2	NM_001039083.4	protein_coding	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ARL17B	ARL17B.2	NM_001103154.2	protein_coding	0	0	6	10	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0	0	0	0	0	0
ARL17B	ARL17B.2	NM_001330240.1.2	protein_coding	0	0	6	6	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0
ARL17B	ARL17B.2	NM_001352769.1	protein_coding	0	0	6	10	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0	0	0	0	0	0
ARL17B	ARL17B.2	NM_001363805.1	protein_coding	0	0	6	6	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	0
ARL17B	ARL17B.3	NM_001039083.4.2	protein_coding	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL17B	ARL17B.3	NM_001103154.2.2	protein_coding	0	0	0	24	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
ARL17B	ARL17B.3	NM_001330240.1.3	protein_coding	0	0	0	24	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
ARL17B	ARL17B.3	NM_001363805.1.2	protein_coding	0	0	0	24	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
ARL2-SNX15	ARL2-SNX15	NR_037650.1		0	0	0	19	0	0	0	0	0	0	0	12	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
ARL6IP4	ARL6IP4	NM_001002251.2	protein_coding	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL6IP4	ARL6IP4	NM_001002252.2	protein_coding	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
